Restaurant,Category,Item Name,Description,Price,Vegetarian,Spicy,Gluten-Free,Calories
Restaurant_82,Appetizers,Spicy Mushroom Tacos,Tender spicy mushroom tacos cooked to perfection with a blend of spices.,6.77,Yes,Yes,No,182
Restaurant_4,Appetizers,Tangy Salmon Pasta,Enjoy the rich flavors of tangy salmon pasta with every bite.,3.72,Yes,No,Yes,609
Restaurant_76,Desserts,Spicy Pork Cake,"A classic favorite, our spicy pork cake is prepared with quality ingredients.",10.5,Yes,No,Yes,244
Restaurant_49,Appetizers,Grilled Tofu Wings,"A classic favorite, our grilled tofu wings is prepared with quality ingredients.",24.79,No,Yes,No,230
Restaurant_71,Desserts,Grilled Mango Tacos,A delicious grilled mango tacos made fresh to order.,4.24,Yes,No,Yes,388
Restaurant_13,Drinks,Crispy Tomato Sandwich,Tender crispy tomato sandwich cooked to perfection with a blend of spices.,12.99,Yes,No,Yes,773
Restaurant_82,Main Course,Zesty Salmon Pizza,Savory and satisfying zesty salmon pizza with a touch of our special sauce.,13.25,Yes,No,Yes,384
Restaurant_5,Desserts,Roasted Mushroom Burger,Tender roasted mushroom burger cooked to perfection with a blend of spices.,27.65,No,Yes,No,555
Restaurant_83,Drinks,Creamy Mushroom Pizza,Tender creamy mushroom pizza cooked to perfection with a blend of spices.,23.11,No,No,No,520
Restaurant_29,Main Course,Zesty Tomato Burger,A delicious zesty tomato burger made fresh to order.,26.25,Yes,Yes,No,760
Restaurant_9,Drinks,Roasted Mango Smoothie,Enjoy the rich flavors of roasted mango smoothie with every bite.,9.79,Yes,Yes,No,806
Restaurant_44,Appetizers,Crispy Cheese Pizza,Savory and satisfying crispy cheese pizza with a touch of our special sauce.,3.09,No,Yes,Yes,790
Restaurant_39,Main Course,Creamy Tofu Pizza,Enjoy the rich flavors of creamy tofu pizza with every bite.,28.74,Yes,No,No,169
Restaurant_15,Desserts,Crispy Salmon Salad,Tender crispy salmon salad cooked to perfection with a blend of spices.,26.71,Yes,Yes,No,220
Restaurant_98,Main Course,Creamy Tomato Pasta,Tender creamy tomato pasta cooked to perfection with a blend of spices.,10.16,No,Yes,Yes,880
Restaurant_40,Drinks,Grilled Tomato Pasta,Savory and satisfying grilled tomato pasta with a touch of our special sauce.,6.27,Yes,Yes,No,171
Restaurant_76,Main Course,Tangy Chicken Burger,A delicious tangy chicken burger made fresh to order.,9.18,Yes,No,Yes,676
Restaurant_31,Desserts,Fresh Salmon Pasta,Tender fresh salmon pasta cooked to perfection with a blend of spices.,22.53,No,Yes,No,566
Restaurant_25,Appetizers,Sweet Cheese Sandwich,Savory and satisfying sweet cheese sandwich with a touch of our special sauce.,14.1,Yes,Yes,Yes,562
Restaurant_94,Desserts,Sweet Salmon Tacos,Tender sweet salmon tacos cooked to perfection with a blend of spices.,17.48,Yes,No,Yes,435
Restaurant_60,Main Course,Sweet Tomato Pasta,A delicious sweet tomato pasta made fresh to order.,4.37,Yes,Yes,Yes,320
Restaurant_53,Drinks,Fresh Salmon Cake,A delicious fresh salmon cake made fresh to order.,7.45,Yes,No,No,615
Restaurant_37,Drinks,Zesty Tomato Pizza,Tender zesty tomato pizza cooked to perfection with a blend of spices.,11.01,Yes,Yes,No,208
Restaurant_7,Drinks,Zesty Lettuce Pizza,A delicious zesty lettuce pizza made fresh to order.,28.94,Yes,Yes,Yes,759
Restaurant_9,Main Course,Roasted Beef Wings,Tender roasted beef wings cooked to perfection with a blend of spices.,18.63,Yes,Yes,No,823
Restaurant_75,Desserts,Crispy Salmon Sandwich,Tender crispy salmon sandwich cooked to perfection with a blend of spices.,10.17,Yes,No,No,473
Restaurant_97,Appetizers,Spicy Tomato Wings,Enjoy the rich flavors of spicy tomato wings with every bite.,29.89,Yes,Yes,No,285
Restaurant_45,Appetizers,Tangy Tofu Soup,Tender tangy tofu soup cooked to perfection with a blend of spices.,14.83,No,Yes,No,829
Restaurant_14,Main Course,Crispy Beef Burger,Enjoy the rich flavors of crispy beef burger with every bite.,7.2,No,Yes,No,358
Restaurant_88,Desserts,Zesty Tomato Soup,A delicious zesty tomato soup made fresh to order.,5.49,No,No,Yes,153
Restaurant_43,Main Course,Crispy Pork Smoothie,Enjoy the rich flavors of crispy pork smoothie with every bite.,22.05,Yes,Yes,Yes,857
Restaurant_20,Appetizers,Grilled Mango Pasta,Tender grilled mango pasta cooked to perfection with a blend of spices.,14.6,Yes,No,No,190
Restaurant_46,Main Course,Tangy Beef Sandwich,Enjoy the rich flavors of tangy beef sandwich with every bite.,26.87,No,Yes,Yes,316
Restaurant_23,Drinks,Spicy Pork Sandwich,Savory and satisfying spicy pork sandwich with a touch of our special sauce.,24.66,Yes,No,Yes,868
Restaurant_14,Drinks,Spicy Tomato Tacos,Tender spicy tomato tacos cooked to perfection with a blend of spices.,25.05,No,No,No,383
Restaurant_29,Appetizers,Tangy Cheese Sandwich,"A classic favorite, our tangy cheese sandwich is prepared with quality ingredients.",26.34,No,No,No,845
Restaurant_69,Desserts,Spicy Beef Soup,Tender spicy beef soup cooked to perfection with a blend of spices.,18.68,No,Yes,Yes,760
Restaurant_56,Desserts,Grilled Cheese Wings,Enjoy the rich flavors of grilled cheese wings with every bite.,6.12,Yes,No,Yes,875
Restaurant_56,Appetizers,Zesty Lettuce Tacos,"A classic favorite, our zesty lettuce tacos is prepared with quality ingredients.",14.65,No,No,Yes,887
Restaurant_39,Desserts,Roasted Tofu Cake,"A classic favorite, our roasted tofu cake is prepared with quality ingredients.",17.97,Yes,No,No,843
Restaurant_96,Main Course,Crispy Cheese Pasta,A delicious crispy cheese pasta made fresh to order.,11.2,Yes,No,No,626
Restaurant_57,Drinks,Tangy Lettuce Smoothie,Tender tangy lettuce smoothie cooked to perfection with a blend of spices.,20.79,No,No,Yes,390
Restaurant_87,Desserts,Tangy Salmon Pizza,A delicious tangy salmon pizza made fresh to order.,4.25,No,Yes,No,574
Restaurant_81,Main Course,Roasted Tomato Cake,Tender roasted tomato cake cooked to perfection with a blend of spices.,6.98,Yes,Yes,No,374
Restaurant_23,Drinks,Spicy Lettuce Tacos,A delicious spicy lettuce tacos made fresh to order.,15.32,No,No,No,777
Restaurant_93,Drinks,Zesty Tomato Pizza,Savory and satisfying zesty tomato pizza with a touch of our special sauce.,15.15,Yes,No,No,791
Restaurant_31,Desserts,Fresh Beef Soup,Tender fresh beef soup cooked to perfection with a blend of spices.,10.34,No,Yes,Yes,304
Restaurant_30,Drinks,Creamy Salmon Burger,Savory and satisfying creamy salmon burger with a touch of our special sauce.,14.01,No,No,Yes,361
Restaurant_54,Drinks,Spicy Mango Cake,Savory and satisfying spicy mango cake with a touch of our special sauce.,3.16,No,No,No,579
Restaurant_69,Main Course,Fresh Salmon Soup,Savory and satisfying fresh salmon soup with a touch of our special sauce.,16.11,No,No,No,891
Restaurant_22,Drinks,Creamy Mango Pasta,A delicious creamy mango pasta made fresh to order.,27.49,Yes,Yes,No,288
Restaurant_60,Main Course,Spicy Mushroom Cake,"A classic favorite, our spicy mushroom cake is prepared with quality ingredients.",8.71,No,No,No,434
Restaurant_97,Drinks,Crispy Beef Smoothie,A delicious crispy beef smoothie made fresh to order.,23.22,Yes,No,Yes,815
Restaurant_9,Appetizers,Spicy Salmon Tacos,A delicious spicy salmon tacos made fresh to order.,19.78,Yes,Yes,No,835
Restaurant_15,Main Course,Fresh Mushroom Sandwich,Tender fresh mushroom sandwich cooked to perfection with a blend of spices.,19.36,Yes,Yes,No,260
Restaurant_75,Appetizers,Crispy Mango Cake,Savory and satisfying crispy mango cake with a touch of our special sauce.,28.42,Yes,Yes,Yes,254
Restaurant_90,Desserts,Sweet Mango Salad,"A classic favorite, our sweet mango salad is prepared with quality ingredients.",17.38,No,Yes,No,162
Restaurant_54,Drinks,Sweet Cheese Sandwich,Savory and satisfying sweet cheese sandwich with a touch of our special sauce.,22.1,No,Yes,No,780
Restaurant_69,Drinks,Fresh Cheese Wings,"A classic favorite, our fresh cheese wings is prepared with quality ingredients.",11.7,Yes,Yes,No,611
Restaurant_32,Drinks,Roasted Tofu Salad,Savory and satisfying roasted tofu salad with a touch of our special sauce.,25.98,Yes,No,Yes,513
Restaurant_34,Desserts,Crispy Mango Soup,Enjoy the rich flavors of crispy mango soup with every bite.,3.27,Yes,Yes,Yes,887
Restaurant_53,Drinks,Zesty Salmon Smoothie,Savory and satisfying zesty salmon smoothie with a touch of our special sauce.,15.1,Yes,Yes,No,376
Restaurant_52,Main Course,Crispy Mango Sandwich,Savory and satisfying crispy mango sandwich with a touch of our special sauce.,17.94,No,No,No,510
Restaurant_90,Drinks,Crispy Mushroom Soup,Tender crispy mushroom soup cooked to perfection with a blend of spices.,6.26,Yes,No,Yes,698
